candidate,objective_J,C0_star,mean_IS,mean_variable_payment,mean_agent_YT,mean_terminal_inventory,mean_clip_count,hjb_seconds,mc_seconds,beta_0,beta_1,beta_2
85,1.6910294134739132,8.778851367668494,1.6899056375746264,72.91105426990613,-8.77789616124207,0.025387205387205344,0.0,14.159160100040026,0.2954700999544002,1.5,1.0,0.0
60,1.797201861372912,24.330317631063103,1.7964018126091317,57.46608418154603,-24.329576579263193,0.011885521885521885,0.0,14.697888399998192,0.298237600014545,1.0,1.0,0.0
55,1.89748440954817,37.70657456059787,1.8970995701889979,44.19052500959112,-37.70485897230199,0.04572390572390571,0.0,13.3809995999909,0.29485229996498674,1.0,0.5,0.0
80,1.947029307912338,22.317485996042546,1.9464080203878051,59.62892202434525,-22.31485321790841,0.05619528619528617,0.0,14.231499299989082,0.2978898999863304,1.5,0.5,0.0
75,1.9670011813791177,35.61928161535981,1.9667280138371068,46.347446398477295,-35.61699988291807,0.04973063973063969,0.0,12.978578399983235,0.29200800001854077,1.5,0.0,0.0
76,1.9704171592607764,24.095287415003302,1.969778111471343,57.874490696468044,-24.094023573865215,0.05020202020202016,0.0,13.594308200001251,0.29487119999248534,1.5,0.0,0.5
50,2.0299852624272,51.10738210315476,2.0298634785736183,30.922481375418855,-51.105827770223804,0.054882154882154865,0.0,13.26591760001611,0.29647790000308305,1.0,0.0,0.0
100,2.0354374052021456,20.24483624060055,2.034958807243304,61.79012256664275,-20.24272413295271,0.04858585858585857,0.0,13.410213000024669,0.2908700999687426,2.0,0.0,0.0
51,2.0468554270748456,39.626187387019016,2.046460042885233,42.42027265586621,-39.6243072322145,0.03181818181818177,0.0,12.970940800034441,0.31324289995245636,1.0,0.0,0.5
35,2.0592380655811056,40.053964235210415,2.058716182104072,42.004751946893656,-40.05367552433106,0.005319865319865303,0.0,13.105412299977615,0.2953887000330724,0.5,1.0,0.0
101,2.122760336485655,8.797929062707096,2.1217814264583543,73.32385236375124,-8.796128993472403,0.06289562289562281,0.0,13.917014800012112,0.2908210000023246,2.0,0.0,0.5
81,2.122977589381975,10.97190828097272,2.121800190865336,71.14989190989262,-10.970642583311532,0.07175084175084177,0.0,14.406734300020617,0.2904604999930598,1.5,0.5,0.5
105,2.178162233146665,7.100478865763668,2.177229017565322,75.07675015180166,-7.098067609542483,0.0628956228956229,0.0,13.894793899962679,0.29284410004038364,2.0,0.5,0.0
65,2.3065594356004198,11.572578627710211,2.3052109107299326,70.73263228301971,-11.571391814465231,0.057508417508417495,0.0,14.362223099975381,0.2962058000266552,1.0,1.5,0.0
77,2.3210122665967106,12.951701424798461,2.3198023381422996,69.36810091334384,-12.95059153877331,0.06932659932659925,0.0,14.399967200006358,0.2948850999819115,1.5,0.0,1.0
52,2.323430888932961,28.415765674923858,2.322566784917217,53.90680110999336,-28.414617546375073,0.037003367003366996,0.0,14.770323800039478,0.294246600009501,1.0,0.0,1.0
40,2.475323483193826,27.19543053624243,2.4743245431493213,55.278894006906896,-27.194654368841196,0.04077441077441066,0.0,14.494188600045163,0.2941071999957785,0.5,1.5,0.0
66,2.496412101191652,0.33089576914567453,2.4943237215911407,82.16342795244546,-0.32787063477114314,0.051952861952861834,0.0,14.904546100005973,0.2938924999907613,1.0,1.5,0.5
45,2.5460911654505622,14.05956435881463,2.544479012295851,68.48491465348123,-14.05918813757806,3.7007434154171887e-19,0.0,14.614111400034744,0.29544029996031895,0.5,2.0,0.0
53,2.598343908231442,17.21749819462879,2.5968395986319583,65.37934140400317,-17.21648799546882,0.045117845117844994,0.0,14.95124919997761,0.29666950000682846,1.0,0.0,1.5
27,2.601270614440679,44.17692345714682,2.600692297427031,38.42376884028021,-44.176402812760834,0.02740740740740738,0.0,13.58848420000868,0.2931154000107199,0.5,0.0,1.0
78,2.6162822560477395,1.7638891491413846,2.614386237029153,80.85049708788776,-1.7603046978176273,0.07033670033670025,0.0,15.220025600050576,0.2913492000079714,1.5,0.0,1.5
25,2.695032055185843,67.22840874291278,2.695000856591664,15.466592113678889,-67.22486362248877,0.07622895622895622,0.0,12.987554799998179,0.29133419995196164,0.5,0.0,0.0
30,2.6984944949672425,53.94481771462528,2.698292245375523,28.753474530750246,-53.94324441123857,0.07515151515151507,0.0,12.963467800000217,0.29314860003069043,0.5,0.5,0.0
32,2.795815096396325,31.080819397895947,2.7947371245773813,51.71391772668143,-31.080068874876886,0.03999999999999998,0.0,17.698929800011683,0.3245871000108309,0.5,0.5,1.0
41,2.80176719454348,16.10281666523695,2.8001320242523744,66.69731535901542,-16.101405085680963,0.024579124579124548,0.0,14.896826099953614,0.29703940002946183,0.5,1.5,0.5
56,2.846870449228419,27.155059195968615,2.846044170234877,55.69098497426625,-27.152808983603986,0.09286195286195276,0.0,13.913568300020415,0.2913824999704957,1.0,0.5,0.5
15,2.8941078996790566,43.081495818539395,2.8934126141390815,39.81191679559968,-43.08120106198283,0.012020202020202025,0.0,13.682429400039837,0.29167889995733276,0.0,1.5,0.0
5,2.9065419366938787,69.61776564145333,2.9064627311639013,13.28869708971057,-69.61632107987948,0.07212121212121209,0.0,12.89621510001598,0.3059145999723114,0.0,0.5,0.0
46,3.065677153149892,3.0934115005854563,3.0632390179656075,79.96982751738014,-3.0922260517474895,0.02804713804713805,0.0,14.723975500033703,0.29323850001674145,0.5,2.0,0.5
31,3.1005839642196307,42.86538619810454,3.100028011415731,40.23464181331119,-42.86460832224183,0.08700336700336697,0.0,14.873651500034612,0.33000069996342063,0.5,0.5,0.5
26,3.115364720245932,56.17311780675501,3.115147370890429,26.94202956413542,-56.17201386377372,0.08723905723905725,0.0,13.249210299982224,0.2915101000107825,0.5,0.0,0.5
36,3.117033050405226,29.620123703186135,3.1160381751924446,53.49591447200631,-29.61857494296266,0.08932659932659934,0.0,15.305159899988212,0.23941420001210645,0.5,1.0,0.5
61,3.1287986461784385,14.171959152777626,3.127402734947472,68.95544358216983,-14.169189185808372,0.09595959595959591,0.0,15.530453699990176,0.30519100005039945,1.0,1.0,0.5
54,3.1690478039979837,6.344407093184402,3.1667425308315957,76.8223354376472,-6.3426411051113805,0.08269360269360271,0.0,14.951557199994568,0.30027619999600574,1.0,0.0,2.0
29,3.2180641908706846,21.86427744390187,3.216176016137993,61.35189857223612,-21.86290254235771,0.003164983164983155,0.0,15.122257599956356,0.29531760001555085,0.5,0.0,2.0
2,3.234593094994782,60.30128108325587,3.2342188718780043,22.93293778862213,-60.30098549701149,0.0,0.0,7.198853100009728,0.14929639996262267,0.0,0.0,1.0
57,3.2366455396015255,16.062962912847212,3.235217719230966,67.17225480638375,-16.059708847770143,0.09764309764309764,0.0,16.831723899987992,0.3244704999960959,1.0,0.5,1.0
11,3.368503888913345,45.32659889454382,3.367756769350508,38.041157874806686,-45.32615070482628,0.04636363636363637,0.0,14.185052800050471,0.29581499996129423,0.0,1.0,0.5
